The function is: func(x) = -0.5*cos(0.5x) - 0.5


			PASSIVE SEARCHER
===========================================================
| Amount of points | Minimal value | Uncertainty interval |
|              106 |     -0.999951 |             0.130841 |
|              107 |     -0.999995 |              0.12963 |
|              108 |     -0.999995 |              0.12844 |
|              109 |     -0.999954 |             0.127273 |
|              110 |      -0.99998 |             0.126126 |
|              111 |            -1 |                0.125 |
|              112 |      -0.99998 |             0.123894 |
|              113 |     -0.999957 |             0.122807 |
|              114 |     -0.999995 |             0.121739 |
|              115 |     -0.999995 |              0.12069 |
|              116 |     -0.999959 |             0.119658 |
|              117 |     -0.999982 |             0.118644 |
|              118 |            -1 |             0.117647 |
|              119 |     -0.999983 |             0.116667 |
|              120 |     -0.999962 |             0.115702 |
|              121 |     -0.999996 |             0.114754 |
|              122 |     -0.999996 |             0.113821 |
|              123 |     -0.999963 |             0.112903 |
|              124 |     -0.999984 |                0.112 |
|              125 |            -1 |             0.111111 |
|              126 |     -0.999985 |             0.110236 |
|              127 |     -0.999966 |             0.109375 |
|              128 |     -0.999996 |             0.108527 |
|              129 |     -0.999996 |             0.107692 |
|              130 |     -0.999967 |              0.10687 |
|              131 |     -0.999986 |             0.106061 |
|              132 |            -1 |             0.105263 |
|              133 |     -0.999986 |             0.104478 |
|              134 |     -0.999969 |             0.103704 |
|              135 |     -0.999997 |             0.102941 |
|              136 |     -0.999997 |              0.10219 |
|              137 |      -0.99997 |             0.101449 |
|              138 |     -0.999987 |             0.100719 |
|              139 |            -1 |                  0.1 |
|---------------------------------------------------------|



					DICHOTOMY SEARCHER
===========================================================================================================
| Left bound | Right bound |     x1     |     x2     |    f(x1)    |    f(x2)    |  length  | step Number |
|---------------------------------------------------------------------------------------------------------|
|         -5 |           2 |     -1.533 |     -1.467 |    -0.86011 |    -0.87147 |        7 |           1 |
|---------------------------------------------------------------------------------------------------------|
|   -1.53333 |           2 |        0.2 |     0.2667 |     -0.9975 |    -0.99556 |   3.5333 |           2 |
|---------------------------------------------------------------------------------------------------------|
|   -1.53333 |    0.266667 |    -0.6667 |       -0.6 |    -0.97248 |    -0.97767 |      1.8 |           3 |
|---------------------------------------------------------------------------------------------------------|
|  -0.666667 |    0.266667 |    -0.2333 |    -0.1667 |     -0.9966 |    -0.99826 |  0.93333 |           4 |
|---------------------------------------------------------------------------------------------------------|
|  -0.233333 |    0.266667 |   -0.01667 |       0.05 |    -0.99998 |    -0.99984 |      0.5 |           5 |
|---------------------------------------------------------------------------------------------------------|
|  -0.233333 |        0.05 |     -0.125 |   -0.05833 |    -0.99902 |    -0.99979 |  0.28333 |           6 |
|---------------------------------------------------------------------------------------------------------|
|     -0.125 |        0.05 |   -0.07083 |  -0.004167 |    -0.99969 |          -1 |    0.175 |           7 |
|---------------------------------------------------------------------------------------------------------|
| -0.0708333 |        0.05 |   -0.04375 |    0.02292 |    -0.99988 |    -0.99997 |  0.12083 |           8 |
|---------------------------------------------------------------------------------------------------------|
|   -0.04375 |        0.05 |   -0.03021 |    0.03646 |    -0.99994 |    -0.99992 |  0.09375 |           9 |
|---------------------------------------------------------------------------------------------------------|
